 Month    Low     2      3      4      5      6      7      8      9    High
194207   4.08   3.58   4.59   4.50   3.12   5.86   4.65   3.63   4.61   7.66
194208   4.01   2.73   3.39   3.21   1.47   3.30   2.02   2.96   1.75   4.00
194209  10.75   3.83   4.03   2.69   2.79   3.63   3.67   3.49   3.79   9.22
194210  21.38  13.52   9.83   9.63   7.92   8.21   7.15   8.15   7.13   7.49
194211  -2.78  -0.79  -2.05   0.42  -1.91  -1.04  -1.14   0.58  -3.08  -4.38
194212   1.98   4.15   2.47   1.96   3.31   4.47   5.66   4.93   3.03   3.34
194301  15.68  13.43  13.15  10.72  14.90  13.89  13.67  16.88  25.02  32.44
194302  32.33  12.03   9.95  16.92  10.73  14.58   8.83   8.57   9.19  10.49
194303  11.40   9.37   8.90  10.32   9.31   8.38  11.01  13.84  14.68  14.12
194304   0.31   0.12  -0.46   2.25   1.73   0.66   6.21   6.63   6.39  11.70
194305   4.32   5.91   6.44   6.15   4.86   8.26   8.74  10.26  12.46  16.93
194306   1.09   1.32   1.75   2.78   1.53   1.99   2.36   1.83   0.11  -3.34
194307  -2.80  -3.76  -4.60  -4.96  -6.00  -5.37  -7.19  -7.20 -10.17 -12.87
194308  -0.86   0.63  -0.38   0.33   0.14   2.55   0.97   0.79   1.48  -2.49
194309   1.14   2.72   2.62   2.83   2.76   4.30   4.70   3.78   5.00   5.49
194310   1.26  -0.55  -0.49  -0.42  -0.52  -0.41  -1.21   0.24   0.64  -1.95
194311 -10.23  -7.22  -5.91  -7.74  -7.39  -7.21  -6.91 -10.82 -11.46 -14.85
194312   7.17   7.65   7.15   7.25   9.10   8.32  10.80  13.72  12.94  14.46
194401   3.97   3.10   3.65   3.81   4.15   3.02   5.57   6.00   3.94   7.84
194402   1.17   0.84   0.87   1.77   1.62   1.14   1.02   1.03   2.80   2.31
194403   3.65   2.44   2.93   2.77   3.10   4.21   3.27   4.52   7.67   6.56
194404  -4.97  -3.56  -2.70  -2.61  -3.04  -2.53  -2.23  -2.57  -2.88  -2.53
194405   4.35   6.02   5.70   6.60   5.49   7.35   7.14   7.52   8.16   7.73
194406  22.24  16.47   9.26   9.52   9.53   9.16   6.47   7.14   9.01   5.68
194407  -4.43   1.01  -2.08  -1.36  -0.56  -1.11  -1.22  -0.51  -1.48  -1.90
194408   0.63   1.09   1.77   2.68   1.43   2.06   3.59   5.28   5.38   7.39
194409   0.49  -0.43   1.09   0.08  -0.49   0.10   0.63  -0.40  -0.30  -1.15
